accession,release_date,length,genotype,segment,protein,geo_location,country,collection_date,genbank_title
AHJ57410.1,2015-02-28T00:00:00Z,757,H7N9,2,polymerase PB1,China,China,1/17/2014,polymerase PB1 [Influenza A virus (A/Shanghai/PD-01/2014(H7N9))]
AHJ57411.1,2015-02-28T00:00:00Z,560,H7N9,4,hemagglutinin,China,China,1/17/2014,hemagglutinin [Influenza A virus (A/Shanghai/PD-01/2014(H7N9))]
AHJ57412.1,2015-02-28T00:00:00Z,498,H7N9,5,nucleocapsid protein,China,China,1/17/2014,nucleocapsid protein [Influenza A virus (A/Shanghai/PD-01/2014(H7N9))]
AHJ57413.1,2015-02-28T00:00:00Z,465,H7N9,6,neuraminidase,China,China,1/17/2014,neuraminidase [Influenza A virus (A/Shanghai/PD-01/2014(H7N9))]
AHJ57414.1,2015-02-28T00:00:00Z,97,H7N9,7,matrix protein 2,China,China,1/17/2014,matrix protein 2 [Influenza A virus (A/Shanghai/PD-01/2014(H7N9))]
AHJ57415.1,2015-02-28T00:00:00Z,252,H7N9,7,matrix protein 1,China,China,1/17/2014,matrix protein 1 [Influenza A virus (A/Shanghai/PD-01/2014(H7N9))]
AHJ57416.1,2015-02-28T00:00:00Z,121,H7N9,8,nuclear export protein,China,China,1/17/2014,nuclear export protein [Influenza A virus (A/Shanghai/PD-01/2014(H7N9))]
AHJ57417.1,2015-02-28T00:00:00Z,217,H7N9,8,nonstructural protein 1,China,China,1/17/2014,nonstructural protein 1 [Influenza A virus (A/Shanghai/PD-01/2014(H7N9))]
AHJ57418.1,2015-02-28T00:00:00Z,560,H7N9,4,hemagglutinin,China,China,1/17/2014,hemagglutinin [Influenza A virus (A/Shanghai/PD-02/2014(H7N9))]
AHJ57419.1,2015-02-28T00:00:00Z,498,H7N9,5,nucleocapsid protein,China,China,1/17/2014,nucleocapsid protein [Influenza A virus (A/Shanghai/PD-02/2014(H7N9))]
AHJ57420.1,2015-02-28T00:00:00Z,465,H7N9,6,neuraminidase,China,China,1/17/2014,neuraminidase [Influenza A virus (A/Shanghai/PD-02/2014(H7N9))]
AHJ57421.1,2015-02-28T00:00:00Z,97,H7N9,7,matrix protein 2,China,China,1/17/2014,matrix protein 2 [Influenza A virus (A/Shanghai/PD-02/2014(H7N9))]
AHJ57423.1,2015-02-28T00:00:00Z,121,H7N9,8,nuclear export protein,China,China,1/17/2014,nuclear export protein [Influenza A virus (A/Shanghai/PD-02/2014(H7N9))]
AHJ57424.1,2015-02-28T00:00:00Z,217,H7N9,8,nonstructural protein 1,China,China,1/17/2014,nonstructural protein 1 [Influenza A virus (A/Shanghai/PD-02/2014(H7N9))]
AHN96454.1,2015-03-06T00:00:00Z,759,H7N9,1,polymerase PB2,China,China,1/17/2014,polymerase PB2 [Influenza A virus (A/Shanghai/PD-02/2014(H7N9))]
AHN96455.1,2015-03-06T00:00:00Z,757,H7N9,2,polymerase PB1,China,China,1/17/2014,polymerase PB1 [Influenza A virus (A/Shanghai/PD-02/2014(H7N9))]
AHN96456.1,2015-03-06T00:00:00Z,716,H7N9,3,polymerase PA,China,China,1/17/2014,polymerase PA [Influenza A virus (A/Shanghai/PD-02/2014(H7N9))]
AHN96457.1,2015-03-06T00:00:00Z,759,H7N9,1,polymerase PB2,China,China,1/17/2014,polymerase PB2 [Influenza A virus (A/Shanghai/PD-01/2014(H7N9))]
AHN96458.1,2015-03-06T00:00:00Z,716,H7N9,3,polymerase PA,China,China,1/17/2014,polymerase PA [Influenza A virus (A/Shanghai/PD-01/2014(H7N9))]
AKA59343.1,2015-04-04T00:00:00Z,252,H1N1,7,matrix protein 1,Iran,Iran,11/23/2014,matrix protein 1 [Influenza A virus (A/Iran/20/2014(H1N1))]
AKA59344.1,2015-04-04T00:00:00Z,97,H1N1,7,matrix protein 2,Iran,Iran,11/23/2014,matrix protein 2 [Influenza A virus (A/Iran/20/2014(H1N1))]
AKD00316.1,2015-04-25T00:00:00Z,560,H7N9,4,hemagglutinin,China,China,4/4/2013,hemagglutinin [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AKD00317.1,2015-04-25T00:00:00Z,465,H7N9,6,neuraminidase,China,China,4/4/2013,neuraminidase [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AKD00318.1,2015-04-25T00:00:00Z,498,H7N9,5,nucleocapsid protein,China,China,4/4/2013,nucleocapsid protein [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AKD00319.1,2015-04-25T00:00:00Z,759,H7N9,1,polymerase PB2,China,China,4/4/2013,polymerase PB2 [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AKD00320.1,2015-04-25T00:00:00Z,757,H7N9,2,polymerase PB1,China,China,4/4/2013,polymerase PB1 [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AKD00321.1,2015-04-25T00:00:00Z,716,H7N9,3,polymerase PA,China,China,4/4/2013,polymerase PA [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AKD00322.1,2015-04-25T00:00:00Z,252,H7N9,3,PA-X protein,China,China,4/4/2013,PA-X protein [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AKD00323.1,2015-04-25T00:00:00Z,97,H7N9,7,matrix protein 2,China,China,4/4/2013,matrix protein 2 [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AKD00324.1,2015-04-25T00:00:00Z,252,H7N9,7,matrix protein 1,China,China,4/4/2013,matrix protein 1 [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AKD00325.1,2015-04-25T00:00:00Z,121,H7N9,8,nuclear export protein,China,China,4/4/2013,nuclear export protein [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AKD00326.1,2015-04-25T00:00:00Z,217,H7N9,8,nonstructural protein 1,China,China,4/4/2013,nonstructural protein 1 [Influenza A virus (A/Shanghai/ION/2013(H7N9))]
AGL07681.1,2015-07-01T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,8/31/2012,hemagglutinin [Influenza A virus (A/India/Gwl-06/2012(H1N1))]
AGY42549.1,2015-07-01T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,7/8/2013,hemagglutinin [Influenza A virus (A/India/GWL-13/2013(H1N1))]
AKS48026.1,2015-08-02T00:00:00Z,459,H5N6,6,neuraminidase,China,China,2/6/2015,neuraminidase [Influenza A virus (A/Yunnan/0127/2015(H5N6))]
ALB08163.1,2015-09-08T00:00:00Z,121,H3N2,8,nuclear export protein,Iran,Iran,3/3/2015,nuclear export protein [Influenza A virus (A/Tehran/14/2015(H3N2))]
ALB08164.1,2015-09-08T00:00:00Z,230,H3N2,8,nonstructural protein 1,Iran,Iran,3/3/2015,nonstructural protein 1 [Influenza A virus (A/Tehran/14/2015(H3N2))]
ALB08165.1,2015-09-08T00:00:00Z,121,H3N2,8,nuclear export protein,Iran,Iran,3/5/2015,nuclear export protein [Influenza A virus (A/Tehran/17/2015(H3N2))]
ALB08166.1,2015-09-08T00:00:00Z,230,H3N2,8,nonstructural protein 1,Iran,Iran,3/5/2015,nonstructural protein 1 [Influenza A virus (A/Tehran/17/2015(H3N2))]
ALB08167.1,2015-09-08T00:00:00Z,121,H3N2,8,nuclear export protein,Iran,Iran,4/25/2015,nuclear export protein [Influenza A virus (A/Alborz-Karaj/103799/2015(H3N2))]
ALB08168.1,2015-09-08T00:00:00Z,230,H3N2,8,nonstructural protein 1,Iran,Iran,4/25/2015,nonstructural protein 1 [Influenza A virus (A/Alborz-Karaj/103799/2015(H3N2))]
ALB08169.1,2015-09-08T00:00:00Z,121,H3N2,8,nuclear export protein,Iran,Iran,4/25/2015,nuclear export protein [Influenza A virus (A/Alborz-Karaj/103800/2015(H3N2))]
ALB08170.1,2015-09-08T00:00:00Z,230,H3N2,8,nonstructural protein 1,Iran,Iran,4/25/2015,nonstructural protein 1 [Influenza A virus (A/Alborz-Karaj/103800/2015(H3N2))]
AKS48050.1,2015-10-26T00:00:00Z,566,H1N1,4,hemagglutinin,India: Indore,India,2/9/2010,hemagglutinin [Influenza A virus (A/Indore/379/2010(H1N1))]
AKS48051.1,2015-10-26T00:00:00Z,566,H1N1,4,hemagglutinin,India: Jabalpur,India,9/30/2010,hemagglutinin [Influenza A virus (A/Jabalpur/1413/2010(H1N1))]
AKS48052.1,2015-10-26T00:00:00Z,566,H1N1,4,hemagglutinin,India: Bhopal,India,11/4/2010,hemagglutinin [Influenza A virus (A/Bhopal/1544/2010(H1N1))]
AKS48053.1,2015-10-26T00:00:00Z,566,H1N1,4,hemagglutinin,India: Bhopal,India,10/6/2011,hemagglutinin [Influenza A virus (A/Bhopal/1664/2011(H1N1))]
AKS48054.1,2015-10-26T00:00:00Z,566,H1N1,4,hemagglutinin,India: Ujjain,India,1/19/2013,hemagglutinin [Influenza A virus (A/Ujjain/2558/2013(H1N1))]
AKS48055.1,2015-10-26T00:00:00Z,566,H1N1,4,hemagglutinin,India: Indore,India,1/15/2015,hemagglutinin [Influenza A virus (A/Indore/3415/2015(H1N1))]
AKS48056.1,2015-10-26T00:00:00Z,566,H1N1,4,hemagglutinin,India: Indore,India,2/4/2015,hemagglutinin [Influenza A virus (A/Indore/3598/2015(H1N1))]
AKS48057.1,2015-10-26T00:00:00Z,566,H1N1,4,hemagglutinin,India: Dewas,India,2/17/2015,hemagglutinin [Influenza A virus (A/Dewas/4497/2015(H1N1))]
ALA50341.1,2015-10-26T00:00:00Z,566,H1N1,4,hemagglutinin,India: Ujjain,India,2/25/2015,hemagglutinin [Influenza A virus (A/Ujjain/5448/2015(H1N1))]
ALA50343.1,2015-10-26T00:00:00Z,566,H1N1,4,hemagglutinin,India: Betul,India,3/17/2015,hemagglutinin [Influenza A virus (A/Betul/6515/2015(H1N1))]
ALX27269.1,2016-01-16T00:00:00Z,469,H1N1,6,neuraminidase,India,India,7/16/2011,neuraminidase [Influenza A virus (A/Calicut/MCVR7353/2011(H1N1))]
ALX27271.1,2016-01-16T00:00:00Z,469,H1N1,6,neuraminidase,India,India,7/4/2012,neuraminidase [Influenza A virus (A/Kasargod/MCVR9976/2012(H1N1))]
ALX27272.1,2016-01-16T00:00:00Z,469,H1N1,6,neuraminidase,India,India,7/13/2012,neuraminidase [Influenza A virus (A/Kannur/MCVR10276/2012(H1N1))]
ALX27273.1,2016-01-16T00:00:00Z,469,H1N1,6,neuraminidase,India,India,7/23/2012,neuraminidase [Influenza A virus (A/Calicut/MCVR10565/2012(H1N1))]
AMB72348.1,2016-02-06T00:00:00Z,716,H1N1,3,polymerase PA,USA,USA,12/9/2015,polymerase PA [Influenza A virus (A/Gainesville/01/2015(H1N1))]
AMB72349.1,2016-02-06T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,12/9/2015,hemagglutinin [Influenza A virus (A/Gainesville/01/2015(H1N1))]
AMB72350.1,2016-02-06T00:00:00Z,498,H1N1,5,nucleocapsid protein,USA,USA,12/9/2015,nucleocapsid protein [Influenza A virus (A/Gainesville/01/2015(H1N1))]
AMB72351.1,2016-02-06T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,12/9/2015,neuraminidase [Influenza A virus (A/Gainesville/01/2015(H1N1))]
AMB72352.1,2016-02-06T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,12/9/2015,matrix protein 2 [Influenza A virus (A/Gainesville/01/2015(H1N1))]
AMB72353.1,2016-02-06T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,12/9/2015,matrix protein 1 [Influenza A virus (A/Gainesville/01/2015(H1N1))]
AMB72354.1,2016-02-06T00:00:00Z,121,H1N1,8,nuclear export protein,USA,USA,12/9/2015,nuclear export protein [Influenza A virus (A/Gainesville/01/2015(H1N1))]
AMB72355.1,2016-02-06T00:00:00Z,219,H1N1,8,nonstructural protein 1,USA,USA,12/9/2015,nonstructural protein 1 [Influenza A virus (A/Gainesville/01/2015(H1N1))]
AME17972.1,2016-02-15T00:00:00Z,121,H1N1,8,nuclear export protein,Iran,Iran,1/5/2016,nuclear export protein [Influenza A virus (A/Tehran/1002/2016(H1N1))]
AME17973.1,2016-02-15T00:00:00Z,219,H1N1,8,nonstructural protein 1,Iran,Iran,1/5/2016,nonstructural protein 1 [Influenza A virus (A/Tehran/1002/2016(H1N1))]
AMM43281.1,2016-03-05T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,2015-04,hemagglutinin [Influenza A virus (A/India/Kol-3527/2015(H1N1))]
AMM43282.1,2016-03-05T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,2015-04,hemagglutinin [Influenza A virus (A/India/Kol-4628/2015(H1N1))]
AMM43283.1,2016-03-05T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,2015-04,hemagglutinin [Influenza A virus (A/India/Kol-4632/2015(H1N1))]
AMM43284.1,2016-03-05T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,2015-04,hemagglutinin [Influenza A virus (A/India/Kol-4651/2015(H1N1))]
AMM43285.1,2016-03-05T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,2015-04,hemagglutinin [Influenza A virus (A/India/Kol-T3/2015(H1N1))]
AMM43286.1,2016-03-05T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,2015-04,hemagglutinin [Influenza A virus (A/India/Kol-T4/2015(H1N1))]
AMM43287.1,2016-03-05T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,2015-04,hemagglutinin [Influenza A virus (A/India/Kol-T5/2015(H1N1))]
AMM43288.1,2016-03-05T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,2015-04,hemagglutinin [Influenza A virus (A/India/Kol-T8/2015(H1N1))]
AMM43289.1,2016-03-05T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,2015-04,hemagglutinin [Influenza A virus (A/India/Kol-T15/2015(H1N1))]
AMM43290.1,2016-03-05T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,2015-04,hemagglutinin [Influenza A virus (A/India/Kol-T16/2015(H1N1))]
AMM43291.1,2016-03-05T00:00:00Z,469,H1N1,6,neuraminidase,India,India,2015-04,neuraminidase [Influenza A virus (A/India/Kol-3527/2015(H1N1))]
AMM43292.1,2016-03-05T00:00:00Z,469,H1N1,6,neuraminidase,India,India,2015-04,neuraminidase [Influenza A virus (A/India/Kol-4628/2015(H1N1))]
AMM43293.1,2016-03-05T00:00:00Z,469,H1N1,6,neuraminidase,India,India,2015-04,neuraminidase [Influenza A virus (A/India/Kol-4632/2015(H1N1))]
AMM43294.1,2016-03-05T00:00:00Z,469,H1N1,6,neuraminidase,India,India,2015-04,neuraminidase [Influenza A virus (A/India/Kol-4651/2015(H1N1))]
AMM43295.1,2016-03-05T00:00:00Z,469,H1N1,6,neuraminidase,India,India,2015-04,neuraminidase [Influenza A virus (A/India/Kol-T3/2015(H1N1))]
AMM43296.1,2016-03-05T00:00:00Z,469,H1N1,6,neuraminidase,India,India,2015-04,neuraminidase [Influenza A virus (A/India/Kol-T4/2015(H1N1))]
AMM43297.1,2016-03-05T00:00:00Z,469,H1N1,6,neuraminidase,India,India,2015-04,neuraminidase [Influenza A virus (A/India/Kol-T5/2015(H1N1))]
AMM43298.1,2016-03-05T00:00:00Z,469,H1N1,6,neuraminidase,India,India,2015-04,neuraminidase [Influenza A virus (A/India/Kol-T8/2015(H1N1))]
AMM43299.1,2016-03-05T00:00:00Z,469,H1N1,6,neuraminidase,India,India,2015-04,neuraminidase [Influenza A virus (A/India/Kol-T15/2015(H1N1))]
AMM43300.1,2016-03-05T00:00:00Z,469,H1N1,6,neuraminidase,India,India,2015-04,neuraminidase [Influenza A virus (A/India/Kol-T16/2015(H1N1))]
AMM43301.1,2016-03-05T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,2015-04,matrix protein 2 [Influenza A virus (A/India/Kol-3527/2015(H1N1))]
AMM43302.1,2016-03-05T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,2015-04,matrix protein 1 [Influenza A virus (A/India/Kol-3527/2015(H1N1))]
AMM43303.1,2016-03-05T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,2015-04,matrix protein 2 [Influenza A virus (A/India/Kol-4628/2015(H1N1))]
AMM43304.1,2016-03-05T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,2015-04,matrix protein 1 [Influenza A virus (A/India/Kol-4628/2015(H1N1))]
AMM43305.1,2016-03-05T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,2015-04,matrix protein 2 [Influenza A virus (A/India/Kol-4632/2015(H1N1))]
AMM43306.1,2016-03-05T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,2015-04,matrix protein 1 [Influenza A virus (A/India/Kol-4632/2015(H1N1))]
AMM43307.1,2016-03-05T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,2015-04,matrix protein 2 [Influenza A virus (A/India/Kol-4651/2015(H1N1))]
AMM43308.1,2016-03-05T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,2015-04,matrix protein 1 [Influenza A virus (A/India/Kol-4651/2015(H1N1))]
AMM43309.1,2016-03-05T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,2015-04,matrix protein 2 [Influenza A virus (A/India/Kol-T3/2015(H1N1))]
AMM43310.1,2016-03-05T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,2015-04,matrix protein 1 [Influenza A virus (A/India/Kol-T3/2015(H1N1))]
AMM43311.1,2016-03-05T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,2015-04,matrix protein 2 [Influenza A virus (A/India/Kol-T4/2015(H1N1))]
AMM43312.1,2016-03-05T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,2015-04,matrix protein 1 [Influenza A virus (A/India/Kol-T4/2015(H1N1))]
AMM43313.1,2016-03-05T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,2015-04,matrix protein 2 [Influenza A virus (A/India/Kol-T5/2015(H1N1))]
AMM43314.1,2016-03-05T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,2015-04,matrix protein 1 [Influenza A virus (A/India/Kol-T5/2015(H1N1))]
AMM43315.1,2016-03-05T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,2015-04,matrix protein 2 [Influenza A virus (A/India/Kol-T8/2015(H1N1))]
AMM43316.1,2016-03-05T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,2015-04,matrix protein 1 [Influenza A virus (A/India/Kol-T8/2015(H1N1))]
AMM43317.1,2016-03-05T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,2015-04,matrix protein 2 [Influenza A virus (A/India/Kol-T15/2015(H1N1))]
AMM43318.1,2016-03-05T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,2015-04,matrix protein 1 [Influenza A virus (A/India/Kol-T15/2015(H1N1))]
AMM43319.1,2016-03-05T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,2015-04,matrix protein 2 [Influenza A virus (A/India/Kol-T16/2015(H1N1))]
AMM43320.1,2016-03-05T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,2015-04,matrix protein 1 [Influenza A virus (A/India/Kol-T16/2015(H1N1))]
AMP44547.1,2016-03-16T00:00:00Z,121,H1N1,8,nuclear export protein,USA,USA,1/20/2016,nuclear export protein [Influenza A virus (A/Gainesville/01/2016(H1N1))]
AMP44548.1,2016-03-16T00:00:00Z,219,H1N1,8,nonstructural protein 1,USA,USA,1/20/2016,nonstructural protein 1 [Influenza A virus (A/Gainesville/01/2016(H1N1))]
AMP44549.1,2016-03-16T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,1/20/2016,matrix protein 2 [Influenza A virus (A/Gainesville/01/2016(H1N1))]
AMP44550.1,2016-03-16T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,1/20/2016,matrix protein 1 [Influenza A virus (A/Gainesville/01/2016(H1N1))]
AMP44552.1,2016-03-16T00:00:00Z,498,H1N1,5,nucleocapsid protein,USA,USA,1/20/2016,nucleocapsid protein [Influenza A virus (A/Gainesville/01/2016(H1N1))]
AMP44553.1,2016-03-16T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,1/20/2016,hemagglutinin [Influenza A virus (A/Gainesville/01/2016(H1N1))]
AMP44554.1,2016-03-16T00:00:00Z,716,H1N1,3,polymerase PA,USA,USA,1/20/2016,polymerase PA [Influenza A virus (A/Gainesville/01/2016(H1N1))]
AMP44555.1,2016-03-16T00:00:00Z,757,H1N1,2,polymerase PB1,USA,USA,1/20/2016,polymerase PB1 [Influenza A virus (A/Gainesville/01/2016(H1N1))]
AMP44556.1,2016-03-16T00:00:00Z,759,H1N1,1,polymerase PB2,USA,USA,1/20/2016,polymerase PB2 [Influenza A virus (A/Gainesville/01/2016(H1N1))]
AMP44557.1,2016-03-16T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,1/29/2016,hemagglutinin [Influenza A virus (A/Gainesville/02/2016(H1N1))]
AMP44558.1,2016-03-16T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,1/29/2016,neuraminidase [Influenza A virus (A/Gainesville/02/2016(H1N1))]
AMP44559.1,2016-03-16T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,1/29/2016,matrix protein 2 [Influenza A virus (A/Gainesville/02/2016(H1N1))]
AMP44560.1,2016-03-16T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,1/29/2016,matrix protein 1 [Influenza A virus (A/Gainesville/02/2016(H1N1))]
AMP44561.1,2016-03-16T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,1/31/2016,hemagglutinin [Influenza A virus (A/Gainesville/03/2016(H1N1))]
AMP44562.1,2016-03-16T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,1/31/2016,neuraminidase [Influenza A virus (A/Gainesville/03/2016(H1N1))]
AMP44563.1,2016-03-16T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,1/31/2016,matrix protein 2 [Influenza A virus (A/Gainesville/03/2016(H1N1))]
AMP44564.1,2016-03-16T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,1/31/2016,matrix protein 1 [Influenza A virus (A/Gainesville/03/2016(H1N1))]
AMP44565.1,2016-03-16T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,2/3/2016,hemagglutinin [Influenza A virus (A/Gainesville/04/2016(H1N1))]
AMP44566.1,2016-03-16T00:00:00Z,469,H1N1,6,neuraminidase,USA,USA,2/3/2016,neuraminidase [Influenza A virus (A/Gainesville/04/2016(H1N1))]
AMP44567.1,2016-03-16T00:00:00Z,97,H1N1,7,matrix protein 2,USA,USA,2/3/2016,matrix protein 2 [Influenza A virus (A/Gainesville/04/2016(H1N1))]
AMP44568.1,2016-03-16T00:00:00Z,252,H1N1,7,matrix protein 1,USA,USA,2/3/2016,matrix protein 1 [Influenza A virus (A/Gainesville/04/2016(H1N1))]
AKC45365.1,2016-03-23T00:00:00Z,759,H5N6,1,polymerase PB2,China,China,2/23/2014,polymerase PB2 [Influenza A virus (A/Changsha/1/2014(H5N6))]
AKC45366.1,2016-03-23T00:00:00Z,757,H5N6,2,polymerase PB1,China,China,2/23/2014,polymerase PB1 [Influenza A virus (A/Changsha/1/2014(H5N6))]
AKC45367.1,2016-03-23T00:00:00Z,716,H5N6,3,polymerase PA,China,China,2/23/2014,polymerase PA [Influenza A virus (A/Changsha/1/2014(H5N6))]
AKC45368.1,2016-03-23T00:00:00Z,252,H5N6,3,PA-X protein,China,China,2/23/2014,PA-X protein [Influenza A virus (A/Changsha/1/2014(H5N6))]
AKC45369.1,2016-03-23T00:00:00Z,566,H5N6,4,hemagglutinin,China,China,2/23/2014,hemagglutinin [Influenza A virus (A/Changsha/1/2014(H5N6))]
AKC45370.1,2016-03-23T00:00:00Z,498,H5N6,5,nucleocapsid protein,China,China,2/23/2014,nucleocapsid protein [Influenza A virus (A/Changsha/1/2014(H5N6))]
AKC45371.1,2016-03-23T00:00:00Z,459,H5N6,6,neuraminidase,China,China,2/23/2014,neuraminidase [Influenza A virus (A/Changsha/1/2014(H5N6))]
AKC45372.1,2016-03-23T00:00:00Z,252,H5N6,7,matrix protein 1,China,China,2/23/2014,matrix protein 1 [Influenza A virus (A/Changsha/1/2014(H5N6))]
AKC45373.1,2016-03-23T00:00:00Z,97,H5N6,7,matrix protein 2,China,China,2/23/2014,matrix protein 2 [Influenza A virus (A/Changsha/1/2014(H5N6))]
AKC45374.1,2016-03-23T00:00:00Z,225,H5N6,8,nonstructural protein 1,China,China,2/23/2014,nonstructural protein 1 [Influenza A virus (A/Changsha/1/2014(H5N6))]
AKC45375.1,2016-03-23T00:00:00Z,121,H5N6,8,nuclear export protein,China,China,2/23/2014,nuclear export protein [Influenza A virus (A/Changsha/1/2014(H5N6))]
AMU04532.1,2016-04-09T00:00:00Z,759,H3N2,1,polymerase PB2,USA,USA,12/30/2014,polymerase PB2 [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04533.1,2016-04-09T00:00:00Z,757,H3N2,2,polymerase PB1,USA,USA,12/30/2014,polymerase PB1 [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04534.1,2016-04-09T00:00:00Z,87,H3N2,2,PB1-F2 protein,USA,USA,12/30/2014,PB1-F2 protein [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04535.1,2016-04-09T00:00:00Z,716,H3N2,3,polymerase PA,USA,USA,12/30/2014,polymerase PA [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04536.1,2016-04-09T00:00:00Z,252,H3N2,3,PA-X protein,USA,USA,12/30/2014,PA-X protein [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04537.1,2016-04-09T00:00:00Z,566,H3N2,4,hemagglutinin,USA,USA,12/30/2014,hemagglutinin [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04538.1,2016-04-09T00:00:00Z,498,H3N2,5,nucleocapsid protein,USA,USA,12/30/2014,nucleocapsid protein [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04539.1,2016-04-09T00:00:00Z,469,H3N2,6,neuraminidase,USA,USA,12/30/2014,neuraminidase [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04540.1,2016-04-09T00:00:00Z,252,H3N2,7,matrix protein 1,USA,USA,12/30/2014,matrix protein 1 [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04541.1,2016-04-09T00:00:00Z,97,H3N2,7,matrix protein 2,USA,USA,12/30/2014,matrix protein 2 [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04542.1,2016-04-09T00:00:00Z,230,H3N2,8,nonstructural protein 1,USA,USA,12/30/2014,nonstructural protein 1 [Influenza A virus (A/DC/1/2014(H3N2))]
AMU04543.1,2016-04-09T00:00:00Z,121,H3N2,8,nuclear export protein,USA,USA,12/30/2014,nuclear export protein [Influenza A virus (A/DC/1/2014(H3N2))]
ANA11352.1,2016-04-27T00:00:00Z,759,H1N1,1,polymerase PB2,USA,USA,2/18/2016,polymerase PB2 [Influenza A virus (A/DC/3/2016(H1N1))]
ANA11353.1,2016-04-27T00:00:00Z,757,H1N1,2,polymerase PB1,USA,USA,2/18/2016,polymerase PB1 [Influenza A virus (A/DC/3/2016(H1N1))]
ANA11354.1,2016-04-27T00:00:00Z,716,H1N1,3,polymerase PA,USA,USA,2/18/2016,polymerase PA [Influenza A virus (A/DC/3/2016(H1N1))]
ANA11355.1,2016-04-27T00:00:00Z,232,H1N1,3,PA-X protein,USA,USA,2/18/2016,PA-X protein [Influenza A virus (A/DC/3/2016(H1N1))]
ANA11356.1,2016-04-27T00:00:00Z,566,H1N1,4,hemagglutinin,USA,USA,2/18/2016,hemagglutinin [Influenza A virus (A/DC/3/2016(H1N1))]
ANA11357.1,2016-04-27T00:00:00Z,498,H1N1,5,nucleocapsid protein,USA,USA,2/18/2016,nucleocapsid protein [Influenza A virus (A/DC/3/2016(H1N1))]
